intensity,latitude,longitude
5818,18.180555,-66.749961
1959,18.158327,-66.932928
7690,18.064919,-66.716683
615,18.190607,-66.832041
6033,18.295913,-66.515588
1866,17.963613,-66.947127
5051,18.349416,-66.578079
3662,17.985033,-66.886536
6566,18.053539,-66.792931
4850,18.21033,-66.591616
8153,18.003422,-67.03581
9727,18.277102,-66.869645
3006,18.240187,-66.988776
13035,18.377637,-67.079574
14338,18.332929,-66.959689
4244,18.382311,-66.626416
2313,18.49551,-67.098671
2803,17.96577,-66.219555
6091,18.003025,-66.046237
1300,18.011233,-66.560065
6676,18.217946,-66.428076
613,18.331178,-65.634104
6768,18.438944,-65.90522
5635,18.225708,-66.221633
10847,18.30391,-66.326179
9122,18.200018,-66.309282
8780,18.452553,-66.077838
3470,18.450002,-66.042656
11214,18.437179,-66.045571
25,18.411313,-66.124234
0,18.395463,-66.073772
0,18.459699,-66.233101
0,18.42753,-66.253789
2988,18.427448,-66.182026
0,18.416641,-66.144555
6208,18.401521,-66.117597
1825,18.406085,-66.101232
9976,42.364031,-72.458759
1785,42.418884,-72.112077
5558,42.27901,-72.400468
1465,42.128176,-72.205352
233,42.375425,-72.858192
5978,42.062378,-72.498111
2457,42.244949,-72.500143
878,42.093912,-72.961103
2316,42.356491,-72.568632
1976,42.071188,-72.417718
238,42.376036,-72.197364
526,42.404287,-72.688924
562,42.356301,-72.713584
818,42.468898,-72.484579
3495,42.093596,-72.321494
6563,42.321251,-72.630395
4281,42.323033,-72.701789
0,42.318882,-72.63853
9,42.406909,-72.655015
679,42.350862,-72.044248
636,42.456968,-72.417244
2422,42.226949,-72.741588
3750,42.05257,-72.777353
74,42.39237,-72.882235
0,42.130446,-72.793967
141,42.441943,-72.661817
5266,42.138527,-72.420703
1034,42.397138,-72.763554
556,42.394315,-72.943115
5822,42.048054,-72.569275
1097,42.092296,-72.489135
0,42.120563,-72.604468
1028,42.312225,-73.110124
3398,42.173196,-73.32429
427,42.266496,-73.378393
970,42.537915,-73.271649
2201,42.367858,-73.269763
164,42.350122,-73.024112
62,42.118094,-73.257497
405,42.186893,-73.223105
365,42.206683,-73.113214
471,42.382019,-73.365492
326,42.107496,-73.118607
1014,42.085244,-73.367483
262,42.075469,-73.234376
131,42.295695,-73.342544
557,42.292202,-73.319209
76,42.23159,-73.202428
583,42.312354,-73.388044
2405,42.671617,-73.246981
342,42.515272,-73.031166
632,42.513947,-72.821517
692,42.492124,-72.709827
563,42.543889,-72.609458
189,42.693268,-72.823116
999,42.53988,-72.521689
1214,42.677091,-72.453876
1853,42.593376,-72.726928
2024,42.657005,-71.923442
1106,42.676293,-71.832523
3387,42.564663,-71.567298
191,42.539753,-71.61233
4101,42.611636,-71.564743
1645,42.501908,-71.568201
1682,42.495111,-72.002339
3440,42.535931,-71.490569
4171,42.582607,-71.720464
4346,42.670643,-71.602858
2426,42.573654,-71.640986
163,42.489495,-71.609346
1891,42.542767,-72.068345
2683,42.664794,-71.695055
2832,42.5546,-71.90544
715,42.669685,-71.752751
6642,42.198708,-71.846006
1151,42.384929,-71.633889
3438,42.039991,-71.532406
1713,42.355049,-71.716157
1421,42.180807,-72.107888
4889,42.133935,-71.968025
828,42.209682,-72.040178
3151,42.053072,-71.752241
1397,42.127477,-72.118818
2468,42.203404,-71.679739
5420,42.336385,-71.850759
951,42.046783,-72.180212
1239,42.375634,-71.867382
2245,42.483569,-71.675585
2597,42.249636,-71.919248
5330,42.192246,-71.777649
1158,42.036642,-71.578779
425,42.326183,-72.133431
5278,42.323342,-71.646236
2236,42.142074,-71.643348
2759,42.231309,-71.692642
1279,42.454125,-71.87754
828,42.204251,-71.908907
2904,42.388285,-71.969865
12853,42.284767,-71.714228
1712,42.175395,-71.674223
2692,42.447924,-71.776045
2220,42.103214,-72.079545
2725,42.176526,-71.603588
4817,42.055921,-71.631128
3873,42.053778,-71.935075
6682,42.268426,-71.613309
2055,42.369417,-71.785036
3739,42.1188,-71.672496
3341,42.132051,-71.750318
9666,42.269189,-71.850728
7401,42.285114,-71.829987
877,42.237604,-71.875838
1558,42.296798,-71.928991
12587,42.319587,-71.4428
240,42.519818,-71.429286
2288,42.485985,-71.520985
8476,42.483953,-71.438495
6689,42.257755,-71.473526
5240,42.499332,-71.281901
1686,42.439933,-71.601885
6741,42.462911,-71.364496
157,42.292114,-71.499197
5171,42.195951,-71.45343
2232,42.123007,-71.531404
5614,42.224096,-71.540489
7708,42.389071,-71.545864
15529,42.349617,-71.547214
4274,42.425955,-71.456256
2064,42.09387,-71.544519
11086,42.158692,-71.521419
14157,42.284822,-71.348811
1480,42.231947,-71.372963
3246,42.302877,-71.530828
2627,42.429688,-71.512514
6226,42.383367,-71.42107
15650,42.488703,-71.154383
9572,42.503227,-71.201713
12369,42.648044,-71.161751
11211,42.54933,-71.251725
9805,42.59079,-71.355182
11185,42.679723,-71.30068
1138,42.676149,-71.499772
3265,42.726226,-70.983318
2339,42.7539,-71.015935
17671,42.742641,-71.178651
11136,42.673909,-71.091334
2683,42.838603,-71.011997
3417,42.578543,-71.295592
3888,42.63378,-71.38947
5422,42.578401,-71.084448
9063,42.535183,-71.105423
11413,42.611801,-71.227571
4378,42.667762,-71.42882
10335,42.501524,-71.067489
8244,42.585541,-71.44025
7947,42.564647,-71.164516
7928,42.452752,-71.144319
6345,42.492456,-70.97393
10210,42.468432,-71.013946
5494,42.474145,-70.906597
1597,42.428256,-70.926041
7025,42.851293,-70.95581
16408,42.570665,-70.867583
2707,42.683108,-71.027188
1050,42.757313,-70.914241
10624,42.574174,-70.950516
1439,42.64042,-70.771172
12906,42.61991,-70.681824
0,42.585723,-70.984051
5677,42.68386,-70.842666
4949,42.534146,-71.038333
2106,42.576636,-70.767154
8250,42.501565,-70.858834
2998,42.606666,-71.010316
7881,42.812358,-70.891095
1765,42.773351,-70.850211
21251,42.534279,-70.969782
3201,42.640699,-70.62025
2186,42.720873,-70.89122
2677,42.626223,-70.85723
2237,42.641387,-70.943383
1381,42.600668,-70.88326
1596,42.799565,-70.964428
6347,42.076682,-71.47449
9026,42.175737,-71.125385
9865,42.246872,-71.179462
1644,42.156882,-71.216187
6626,42.061338,-71.245802
11288,42.084858,-71.410571
8712,42.216098,-70.88127
4892,42.292253,-70.923919
8471,42.017302,-71.21642
9495,42.115139,-70.710331
4189,42.184599,-71.305307
4642,42.156203,-71.430345
3100,42.173103,-71.363756
3183,42.11366,-71.33756
3632,42.164569,-70.818844
11757,42.187364,-71.195971
6650,42.202273,-70.758184
6220,42.1076,-71.181828
300,42.103425,-71.273589
10724,42.119006,-71.10365
7027,42.147042,-71.269965
5528,42.219645,-71.216768
4076,42.052671,-71.356858
3202,42.350518,-71.059077
4370,42.365331,-71.055233
9258,42.337105,-71.105696
