intensity,latitude,longitude
615,18.190607,-66.832041
46,18.483063,-66.392379
613,18.331178,-65.634104
512,18.326599,-65.30772
96,18.155424,-66.229907
68,18.46446,-66.094995
25,18.411313,-66.124234
0,18.395463,-66.073772
0,18.459699,-66.233101
0,18.42753,-66.253789
0,18.416641,-66.144555
31,42.389698,-72.524009
548,42.190191,-72.954263
157,42.209669,-72.339743
572,42.290128,-72.966516
233,42.375425,-72.858192
459,42.465495,-72.918267
316,42.193395,-73.044647
531,42.32938,-72.198156
251,42.457613,-72.81478
878,42.093912,-72.961103
238,42.376036,-72.197364
526,42.404287,-72.688924
925,42.286762,-72.869695
562,42.356301,-72.713584
818,42.468898,-72.484579
0,42.318882,-72.63853
9,42.406909,-72.655015
679,42.350862,-72.044248
272,42.518446,-72.919017
499,42.160064,-72.87384
636,42.456968,-72.417244
134,42.387603,-72.09323
256,42.194327,-72.328888
911,42.185727,-72.361558
734,42.061313,-72.234411
1115,42.203642,-72.194599
74,42.39237,-72.882235
0,42.130446,-72.793967
211,42.391709,-72.646494
445,42.191868,-72.235108
141,42.441943,-72.661817
190,42.359108,-72.1368
1034,42.397138,-72.763554
17,42.178038,-72.832612
556,42.394315,-72.943115
1097,42.092296,-72.489135
0,42.120563,-72.604468
348,42.058703,-73.322175
1028,42.312225,-73.110124
124,42.513163,-73.195743
48,42.277932,-73.332032
1196,42.425677,-73.063028
427,42.266496,-73.378393
970,42.537915,-73.271649
173,42.333734,-73.249199
164,42.350122,-73.024112
62,42.118094,-73.257497
405,42.186893,-73.223105
365,42.206683,-73.113214
471,42.382019,-73.365492
326,42.107496,-73.118607
321,42.594166,-73.02232
1014,42.085244,-73.367483
195,42.10928,-73.462886
262,42.075469,-73.234376
131,42.295695,-73.342544
557,42.292202,-73.319209
76,42.23159,-73.202428
583,42.312354,-73.388044
342,42.515272,-73.031166
632,42.513947,-72.821517
1101,42.689307,-72.582289
73,42.572488,-72.824145
601,42.603776,-72.889644
722,42.694731,-72.710956
692,42.492124,-72.709827
563,42.543889,-72.609458
25,42.657625,-72.978933
602,42.613418,-72.426428
189,42.693268,-72.823116
78,42.559294,-72.518753
462,42.563061,-72.482115
47,42.727772,-72.985346
999,42.53988,-72.521689
583,42.624101,-72.508607
392,42.458551,-72.327191
493,42.475621,-72.192468
231,42.695532,-72.909148
528,42.679456,-72.176935
338,42.673533,-72.353213
384,42.556308,-72.407153
1106,42.676293,-71.832523
191,42.539753,-71.61233
229,42.562243,-72.031402
163,42.489495,-71.609346
715,42.669685,-71.752751
1151,42.384929,-71.633889
828,42.209682,-72.040178
951,42.046783,-72.180212
94,42.106794,-71.630518
1158,42.036642,-71.578779
425,42.326183,-72.133431
880,42.158966,-71.897051
828,42.204251,-71.908907
85,42.44397,-71.685583
877,42.237604,-71.875838
240,42.519818,-71.429286
540,42.456754,-71.279477
157,42.292114,-71.499197
1138,42.676149,-71.499772
916,42.460419,-70.946379
1050,42.757313,-70.914241
0,42.585723,-70.984051
50,42.133914,-70.686037
300,42.103425,-71.273589
528,42.365915,-71.122177
743,42.347476,-71.082035
27,42.360588,-71.058737
24,42.054978,-71.080651
0,41.850984,-70.654984
1005,41.9591,-70.802753
0,42.299388,-71.274242
612,42.328708,-71.2559
277,41.668942,-70.619407
468,41.337961,-70.761674
278,41.707839,-70.54552
432,41.478974,-70.766911
35,41.712526,-70.620747
464,41.745017,-70.653513
170,41.766737,-70.540595
100,41.27194,-69.984473
930,41.400252,-70.656934
10,41.258845,-70.007333
839,41.706756,-70.312489
56,41.705726,-70.270928
101,41.751246,-70.153472
0,41.797941,-69.937327
887,41.670596,-70.071449
74,41.630127,-70.310144
375,41.701947,-69.961453
0,41.875047,-70.003438
439,42.049534,-70.094987
481,41.681474,-70.023529
47,41.894444,-70.01218
357,41.99078,-70.045714
48,41.66668,-69.989694
661,41.660103,-70.170681
456,41.675153,-70.109767
135,41.6357,-70.313634
12,41.441295,-70.902217
933,41.720043,-71.188272
693,41.966866,-71.308574
