intensity,latitude,longitude
5818,18.180555,-66.749961
1959,18.158327,-66.932928
615,18.190607,-66.832041
6033,18.295913,-66.515588
1866,17.963613,-66.947127
3662,17.985033,-66.886536
6566,18.053539,-66.792931
8153,18.003422,-67.03581
9727,18.277102,-66.869645
13035,18.377637,-67.079574
11718,18.221464,-67.156039
14338,18.332929,-66.959689
2313,18.49551,-67.098671
2803,17.96577,-66.219555
11256,17.991269,-66.606774
6686,18.003222,-66.614037
6676,18.217946,-66.428076
12051,18.030831,-66.616838
4482,18.109947,-66.635622
613,18.331178,-65.634104
6768,18.438944,-65.90522
5635,18.225708,-66.221633
10847,18.30391,-66.326179
9122,18.200018,-66.309282
8780,18.452553,-66.077838
2452,18.44161,-66.067132
3470,18.450002,-66.042656
11214,18.437179,-66.045571
10045,18.409029,-66.038586
3178,18.400296,-66.050602
7005,18.444614,-66.148819
6208,18.401521,-66.117597
7713,18.444394,-66.030035
233,42.375425,-72.858192
9273,42.154903,-72.602804
12491,42.172611,-72.56192
316,42.193395,-73.044647
526,42.404287,-72.688924
562,42.356301,-72.713584
4281,42.323033,-72.701789
3750,42.05257,-72.777353
4455,42.299749,-72.279164
11971,42.125451,-72.649734
8989,42.134009,-72.565378
5701,42.094587,-72.525219
4822,42.124978,-72.51121
2787,42.118671,-72.488203
3243,42.15186,-72.509131
19953,42.448236,-73.273727
164,42.350122,-73.024112
6848,42.698526,-73.0843
321,42.594166,-73.02232
557,42.292202,-73.319209
342,42.515272,-73.031166
189,42.693268,-72.823116
462,42.563061,-72.482115
2375,42.59528,-72.555002
384,42.556308,-72.407153
14828,42.584925,-71.816862
8254,42.588337,-71.986069
16563,42.519967,-71.763319
4171,42.582607,-71.720464
1818,42.267564,-72.066876
4323,42.116263,-71.857465
6926,42.059737,-72.033908
1712,42.175395,-71.674223
9666,42.269189,-71.850728
7203,42.243826,-71.843569
14447,42.253485,-71.767932
3694,42.225974,-71.788894
7401,42.285114,-71.829987
8114,42.247049,-71.808366
15244,42.282379,-71.436623
10148,42.796313,-71.053436
8825,42.791114,-71.132859
2215,42.706763,-71.160403
14854,42.712015,-71.164873
8732,42.689988,-71.16039
10203,42.627813,-71.335334
13830,42.632978,-71.295616
9542,42.649481,-71.348229
916,42.460419,-70.946379
17154,42.471039,-70.941535
8539,42.465998,-70.975792
18277,42.524435,-70.870859
2677,42.626223,-70.85723
300,42.103425,-71.273589
7196,42.363174,-71.068646
12514,42.337582,-71.070482
8384,42.291413,-71.042158
19130,42.285805,-71.070571
12586,42.315682,-71.055555
10027,42.274227,-71.097423
17056,42.334992,-71.039093
16286,42.361203,-71.00705
8931,42.379657,-71.061487
16336,42.309174,-71.113835
12480,42.284333,-71.126228
19063,42.349688,-71.153964
11762,42.255083,-71.12922
8891,42.392157,-71.133996
6437,42.3703,-71.08256
1326,42.361994,-71.081588
10409,42.391577,-71.08991
23081,42.42938,-71.058706
15521,42.405938,-71.054649
12714,42.396824,-71.031348
528,42.365915,-71.122177
24770,42.248386,-71.002279
6179,42.209781,-70.928176
7463,42.347635,-71.103082
21042,42.078371,-71.042304
7897,41.972376,-70.978773
9078,41.878004,-70.869267
5112,42.392438,-71.213912
15233,42.369451,-71.177925
468,41.337961,-70.761674
432,41.478974,-70.766911
1684,41.441713,-70.576143
4578,41.761187,-70.695991
1899,41.772221,-70.762948
6319,41.656038,-70.296764
1556,41.624054,-70.439397
1514,41.730245,-70.197392
1303,41.805594,-71.157707
13223,41.723023,-71.121527
10897,41.675125,-71.148281
6672,41.692705,-71.129726
7621,41.683936,-71.1775
18406,41.637485,-70.938265
10119,41.700737,-70.950546
19934,41.909112,-71.118346
860,41.408251,-71.749674
3271,41.394216,-71.669822
10531,41.478216,-71.322375
6824,41.518673,-71.281685
2473,41.959073,-71.757323
17926,41.870562,-71.388681
9831,41.878603,-71.353131
6310,41.890064,-71.393481
4957,41.725138,-71.258805
12755,41.858334,-71.436294
8796,41.784725,-71.396103
8865,41.798593,-71.42463
12204,41.839825,-71.436794
8807,41.815116,-71.365787
7329,41.772847,-71.354839
14064,41.767344,-71.465508
5197,43.021515,-71.563462
11889,42.741087,-71.458266
5735,42.77938,-71.47492
13984,42.950906,-71.44656
3599,43.448973,-71.674166
6904,43.576535,-71.482263
2599,43.631211,-71.498585
984,43.265259,-71.408835
2210,43.738775,-71.702625
272,43.965803,-71.859117
2289,42.858271,-72.29636
275,42.999482,-72.121703
2663,44.343351,-71.795118
3941,44.504596,-71.155466
203,44.301396,-71.299834
193,43.238837,-72.286124
1077,43.140833,-72.347571
141,43.127324,-72.376844
188,43.19651,-72.268353
4226,43.632568,-72.234816
147,43.531294,-72.258811
3030,43.371345,-72.202789
1951,43.638325,-72.30649
1392,43.46473,-71.200177
1777,43.95945,-71.274251
656,43.422251,-71.336087
455,44.18762,-71.155763
257,43.642849,-71.282793
9211,43.301679,-70.991769
970,43.214916,-70.628806
174,43.727261,-69.956899
553,43.930799,-70.918584
573,43.767186,-70.808863
375,43.996209,-70.813737
1391,44.12685,-70.696419
763,43.733357,-70.894042
1175,43.688481,-70.781883
1648,43.975769,-70.639298
6832,43.418643,-70.747779
1865,43.464119,-70.814287
3734,43.964977,-69.955624
7783,43.654353,-70.297611
10791,43.631402,-70.285989
1194,44.378536,-70.816256
317,44.481538,-70.277339
109,44.263058,-70.875477
16063,44.089513,-70.172095
1384,44.445337,-70.138076
240,44.345792,-70.655701
1145,44.104897,-70.40468
2156,43.957508,-70.296011
155,44.565568,-70.962661
1664,44.225867,-70.610021
2415,44.55992,-70.625264
637,44.319278,-70.522647
4559,44.195091,-69.793771
862,44.237286,-69.751247
938,44.198014,-69.619689
1608,44.116833,-69.829607
18900,44.848517,-68.850405
563,45.44288,-69.114639
2415,44.623798,-68.749742
1055,44.800454,-69.003117
1847,44.721239,-68.617075
1020,45.227773,-69.353261
538,45.296196,-68.71106
453,44.916049,-68.927991
119,45.60701,-68.222173
10,45.552976,-67.581444
1286,45.286832,-68.895109
259,45.432794,-69.300953
4010,45.024673,-68.734534
296,45.916545,-67.856824
932,44.57632,-68.669915
616,45.124208,-69.287058
382,45.387737,-68.104471
65,45.573159,-67.470651
791,45.236824,-68.524576
5146,43.887982,-69.826723
925,44.022351,-69.490756
527,43.975989,-69.610952
258,43.921687,-69.464934
587,44.260639,-69.391524
327,43.813339,-69.662868
1893,43.982445,-69.692754
5833,44.672809,-68.391841
516,44.540726,-67.712364
2329,44.39747,-68.263808
1378,45.142952,-67.217529
587,44.751766,-67.964777
735,44.23701,-68.607845
277,44.87399,-67.274401
576,44.866496,-67.474781
711,44.910958,-67.008913
594,44.54711,-67.48983
839,44.819713,-67.062328
446,44.539656,-68.119741
536,44.980584,-67.223672
595,44.983542,-67.101382
