id,state,county,rate
1001,7460,57694,21.8
1002,9976,52379,28.3
1003,31,"2,500-",83.9
1005,1785,70325,11.8
1007,5558,86165,9.9
1008,548,62750,9.7
1009,157,59440,35.7
1010,1465,86523,17.3
1011,572,75263,14.5
1012,233,70114,18
1013,9273,39868,30.9
1020,12491,58780,21.1
1022,1223,43349,20.4
1026,459,51442,17.4
1027,7871,63699,16
1028,5978,85221,14.7
1029,316,50750,26
1030,4290,71716,17.2
1031,531,41875,35.2
1032,251,78011,12.4
1033,2457,89965,12.7
1034,878,87045,10
1035,2316,58953,13.2
1036,1976,81304,10.6
1037,238,92750,2.9
1038,1337,67096,7.7
1039,526,80000,14.5
1040,15403,37954,36.6
1050,925,68869,17.4
1053,562,62222,11.4
1054,818,87174,10.8
1056,8086,67715,13.8
1057,3495,78986,12.2
1060,6563,57485,25
1062,4281,73438,18.1
1063,0,-,0
1066,9,-,0
1068,679,85938,8.3
1069,3630,59211,20.8
1070,272,57000,18
1071,499,67132,11.6
1072,636,72000,17.5
1073,2422,89423,14.6
1074,134,61603,0
1075,6745,66681,18.7
1077,3750,76737,13.5
1079,256,27105,37.5
1080,911,49844,29.4
1081,734,50465,25.8
1082,4455,51768,20.7
1083,1115,65547,26.6
1084,74,90625,12.2
1085,15542,62423,14.8
1086,0,-,0
1088,211,51406,14.2
1089,11971,51735,23.7
1092,445,75799,19.8
1093,141,103750,12.1
1094,190,21250,63.1
1095,5266,104128,10.7
1096,1034,77083,12.3
1097,17,-,58.8
1098,556,76563,14.3
1103,1418,16720,59.7
1104,8989,30053,44.6
1105,4831,17569,61.6
1106,5822,111231,9.5
1107,3825,26772,47.4
1108,9899,38499,35.7
1109,9591,35191,39.5
1118,5701,61112,19.3
1119,4822,47439,25.1
1128,1097,65977,12.8
1129,2787,63895,20.1
1151,3243,40360,32.1
1199,0,-,0
1201,19953,47614,27.5
1220,3768,49777,23.3
1222,348,74583,6
1223,1028,77857,12.4
1224,124,38446,38.7
1225,1404,61512,18
1226,2970,61063,17.1
1229,48,29000,43.7
1230,3398,65214,14.6
1235,1196,63000,11.4
1236,427,57014,8
1237,970,84615,11.4
1238,2351,67708,17.3
1240,2201,68948,16.6
1242,173,81172,0
1243,164,71979,14
1244,62,55556,32.2
1245,405,69821,10.9
1247,6848,40928,31
1253,365,74554,11
1254,471,92083,11.8
1255,326,68636,11.6
1256,321,55375,20.9
1257,1014,59500,17.7
1258,195,57917,13.3
1259,262,62727,7.6
1260,131,112756,10.7
1262,557,36042,26.7
1264,76,80000,22.4
1266,583,74107,14.4
1267,2405,78068,14.9
1270,342,80000,11.1
1301,7995,48477,26.4
1330,632,74167,7.2
1331,5403,53733,21.6
1337,1101,66085,17.2
1338,73,57750,8.2
1339,601,55313,19.6
1340,722,53125,20.1
1341,692,101023,4.9
1342,563,106146,14.4
1343,25,85781,24
1344,602,70109,14.3
1346,189,60208,14.7
1347,78,52647,28.2
1349,462,61630,18
1350,47,31458,31.9
1351,999,82548,15.6
1354,583,69226,9.5
1355,392,70313,14.3
1360,1214,69028,16.4
1364,3185,43413,28.8
1366,493,65529,13.5
1367,231,55469,24.3
1368,528,72813,14.4
1370,1853,54036,23.7
1373,1850,74022,14
1375,1597,54886,21.8
1376,2375,43750,36.9
1378,338,57885,16.8
1379,384,43500,30.7
1420,14828,51412,25.6
1430,2024,85064,9
1431,1106,95833,8.1
1432,3387,79750,14
1434,191,50547,5.8
1436,1229,60156,19.2
1438,229,74142,3.5
1440,8254,48915,27
1450,4101,123918,10.5
1451,1645,143625,7.2
1452,1682,93387,10.5
1453,16563,57610,22.8
1460,3440,119177,12.3
1462,4171,97775,14.6
1463,4346,90029,12.9
1464,2426,67541,16.2
1467,163,98036,28.8
1468,1891,64872,10.2
1469,2683,84489,7.9
1473,2832,100071,7.5
1474,715,84851,8
1475,3889,64539,18.4
1501,6642,74576,13.4
1503,1151,97417,11
1504,3438,80260,12
1505,1713,97074,8.2
1506,1421,64219,12.4
1507,4889,93921,10.1
1510,5586,68362,13.3
1515,828,80234,11.8
1516,3151,94531,10.3
1518,1397,58438,17.8
1519,2468,106250,10.1
1520,5420,99674,9.7
1521,951,78348,8.2
1522,1239,104508,7
1523,2245,104630,8
1524,2597,64135,19.6
1525,94,-,35.1
1527,5330,74713,14.9
1529,1158,90500,10.5
1531,425,84432,8.4
1532,5278,111875,6.9
1534,2236,89348,11.5
1535,1818,73133,12.4
1536,2759,105283,14.1
1537,880,74883,21.1
1540,4323,68865,18.4
1541,1279,128006,6.3
1542,828,100000,4.3
1543,2904,100962,5.1
1545,12853,101229,9.8
1550,6926,50202,25.9
1560,1712,85390,9.9
1561,85,-,0
1562,4969,65386,23.8
1564,2692,102500,9.5
1566,2220,95800,9.1
1568,2725,119115,9
1569,4817,94809,10.9
1570,6734,52107,20.5
1571,3873,64281,17.1
1581,6682,107604,9.5
1583,2055,73463,12.9
1585,1887,66317,13
1588,3739,66607,16
1590,3341,101315,6.5
1602,9666,64808,19.2
1603,7203,42259,30.1
1604,14447,50487,28.5
1605,10657,37703,37.2
1606,8129,65135,17.1
1607,3694,43500,28.3
1608,1639,20578,58.1
1609,7401,42903,35
1610,8114,31003,41.8
1611,877,81830,7.5
1612,1558,95595,9
1701,12587,105940,10.1
1702,15244,52746,25.5
1718,240,160750,0
1719,2288,101077,9.3
1720,8476,133075,9.7
1721,6689,120309,10.3
1730,5240,125208,6
1731,540,93276,1.1
1740,1686,151618,6.2
1741,1773,170703,5
1742,6741,137547,10.7
1745,157,123992,5.1
1746,5171,118933,8.5
1747,2232,101761,14.2
1748,5614,151357,3.2
1749,7708,83765,12.6
1752,15529,75418,13.1
1754,4274,95833,14.2
1756,2064,125816,5
1757,11086,75976,13.2
1760,14157,106332,10.7
1770,1480,170872,7.7
1772,3246,143375,7.6
1773,2008,153500,8.6
1775,2627,144766,6.1
1776,6226,170945,6.6
1778,5044,166548,8.6
1801,15650,84857,12.2
1803,9572,99254,9.4
1810,12369,143292,8.3
1821,11211,99881,8
1824,9805,115533,7.7
1826,11185,86644,12.6
1827,1138,138700,5
1830,10148,61375,20.8
1832,8825,64238,20.3
1833,3265,113417,8.4
1834,2339,95031,13.7
1835,5182,77697,13.7
1840,2215,20596,55
1841,14854,38199,33.4
1843,8732,46629,24.7
1844,17671,73525,15.6
1845,11136,105661,11.9
1850,5421,46102,32.1
1851,10203,52008,25.8
1852,13830,50911,29.4
1854,9542,40982,37.8
1860,2683,84417,13.5
1862,3417,93494,10.5
1863,3888,77055,17.1
1864,5422,124750,7.2
1867,9063,113553,9.9
1876,11413,94817,13.1
1879,4378,101620,11
1880,10335,93337,11.6
1886,8244,138006,5.8
1887,7947,118549,10.2
1890,7928,152196,6.8
1901,916,22057,56
1902,17154,42851,31.8
1904,6345,88395,9.2
1905,8539,57638,24
1906,10210,82188,13.5
1907,5494,105029,12.6
1908,1597,81384,13.6
1913,7025,78638,11.3
1915,16408,77893,17.6
1921,2707,155034,4.2
1922,1050,87986,17.8
1923,10624,79795,14.1
1929,1439,109327,10.6
1930,12906,65348,20.1
1937,0,-,0
1938,5677,80829,16.8
1940,4949,113509,8.4
1944,2106,105500,13.7
1945,8250,110025,10.5
1949,2998,107727,10.9
1950,7881,89887,14.2
1951,1765,90662,7.5
1952,3597,72900,17.5
1960,21251,65060,18.6
1966,3201,72015,17.1
1969,2186,89338,12
1970,18277,65476,23.7
1982,2677,112250,14.3
1983,2237,131387,8.5
1984,1381,96979,12.6
1985,1596,135882,7.9
2019,6347,95533,10.9
2021,9026,96583,12.4
2025,3046,140000,13.3
2026,9865,89451,12.9
2030,2011,204018,1.5
2032,1644,120250,5.4
2035,6626,98199,9
2038,11288,111935,8.7
2043,8712,125144,12.4
2045,4892,80584,18.1
2047,50,26953,0
2048,8471,111141,6.9
2050,9495,92610,13.5
2052,4189,153847,7.8
2053,4642,115432,8.7
2054,3100,100230,10.7
2056,3183,139137,6.7
2061,3632,128563,8
2062,11757,87516,15.4
2066,6650,114766,9.7
2067,6220,133229,6.2
2071,300,115333,0
2072,10724,78343,15.7
2081,7027,105420,10
2090,5528,146042,8
2093,4076,107444,11.9
2108,1888,126224,8.8
2109,1943,129716,9.3
2110,1347,108438,13.2
2111,3202,39329,39.9
2113,4370,91212,13.2
2114,7196,89452,19.4
2115,9258,38759,40.8
2116,11987,103422,19
2118,12514,70575,29.3
2119,11261,30663,44.4
2120,4991,32243,42.6
2121,10471,27964,45
2122,8384,56024,26
2124,19130,50227,30.3
2125,12586,53382,28.7
2126,10027,50039,28.6
2127,17056,91597,21
2128,16286,52154,25.9
2129,8931,103834,21.4
2130,16336,84847,19.6
2131,12480,72127,19.4
2132,11333,93343,15.7
2134,7855,49938,28
2135,19063,61566,25.3
2136,11762,64877,20.8
2138,13542,87671,16.1
2139,14094,91250,16.7
2140,8891,91596,19.5
2141,6437,77261,24.7
2142,1326,120729,13.1
2143,11238,90285,13.4
