id,place,city,region,zip,type,verification_type,verification_number,sum_of_tickets_earned,count_of_projects_earning_tickets,years_tickets_earned,lat,lon,HouseMedianIncome,HouseMeanIncome,IncomeUnder25K
27549,YMCA of Greater Erie,Erie,Pennsylvania,16501,nonprofit,ein,250965621,20,1,2018,42.12,-80.09,10873,14780,90.1
32509,Paulina PTO,Paulina,Oregon,97751,nonprofit,ein,300055232,5,1,2018,44.15,-119.87,16705,33628,84.6
26062,San Joaquin Pride Center,Stockton,California,95202,nonprofit,ein,464844960,5,1,2018,37.96,-121.29,14549,24786,74.8
21358,Austin Hatcher Foundation for Pediatric Cancer,Chattanooga,Tennessee,37402,nonprofit,ein,208065108,5,1,2018,35.04,-85.32,13204,26954,74.4
16350,The Childrens Fund,Albany,New York,12207,nonprofit,ein,141505623,20,1,2018,42.66,-73.75,12396,24597,73.7
18223,St. Vincent de Paul Louisville,Louisville,Kentucky,40203,nonprofit,ein,610727110,10,1,2018,38.25,-85.77,15341,27652,67
18565,Presentation Academy,Louisville,Kentucky,40203,nonprofit,ein,610507080,5,1,2018,38.25,-85.77,15341,27652,67
31398,The Miami Foundation d/b/a Dade Legal Aid,Miami,Florida,33128,nonprofit,ein,650350357,5,1,2018,25.78,-80.2,19138,28059,63.8
26862,Milton J. Rubenstein Museum of Science & Technology,Syracuse,New York,13202,nonprofit,ein,222287569,5,1,2018,43.04,-76.15,15000,37407,63.4
28983,Towards Employment,Cleveland,Ohio,44115,nonprofit,ein,341578831,5,1,2018,41.49,-81.67,13625,36099,62.9
21472,A Very Rare Shop,Los Angeles,California,90021,nonprofit,ein,814843045,20,1,2018,34.03,-118.24,12864,47393,62.7
30598,Asians and Pacific Islanders with Disabilities of CA,Los Angeles,California,90021,nonprofit,ein,800211920,5,1,2018,34.03,-118.24,12864,47393,62.7
16661,Catholic Charities Diocese of Lubbock,Lubbock,Texas,79401,nonprofit,ein,751966688,15,2,"2018,2019",33.59,-101.85,18425,28302,62.1
34751,Open Door,Lubbock,Texas,79401,nonprofit,ein,510687541,5,1,2018,33.59,-101.85,18425,28302,62.1
18118,Vernon City Elementary,Los Angeles,California,90058,School- Public School,ncesSchoolId,62271003432,20,4,2018,34,-118.22,16425,33969,61.1
32410,Potential Development Schools for Students with Autism,Youngstown,Ohio,44507,nonprofit,ein,340789759,5,1,2018,41.07,-80.66,18966,26442,60.1
28583,Bradbury-Sullivan LGBT Community Center,Allentown,Pennsylvania,18101,nonprofit,ein,201443960,20,1,2018,40.6,-75.47,19401,30378,59
28285,Child and Adolescent Behavioral Health,Canton,Ohio,44704,nonprofit,ein,341191950,5,1,2018,40.8,-81.34,20313,34883,58.6
29578,Centre for the Arts,Centreville,Mississippi,39631,nonprofit,ein,900487110,20,2,2018,31.07,-91.13,18846,34634,58.1
13476,Jay's HOPE Foundation,Macon,Georgia,31201,nonprofit,ein,205117271,25,3,"2017,2018",32.81,-83.62,19495,38249,58
23220,Rescue Mission of Middle GA,Macon,Georgia,31201,nonprofit,ein,586011446,10,1,2018,32.81,-83.62,19495,38249,58
36174,Joshua's Wish,MACON,Georgia,31201,nonprofit,ein,272416977,5,1,2018,32.81,-83.62,19495,38249,58
28578,The Psychological Center,LAWRENCE,Massachusetts,1840,nonprofit,ein,237185825,10,2,2018,42.71,-71.16,20596,43260,55
14621,Lexington Children's Theatre,Lexington,Kentucky,40507,nonprofit,ein,610929277,10,2,"2018,2019",38.05,-84.5,18993,57044,53.7
37582,Wichita Family Crisis Center,Wichita,Kansas,67214,nonprofit,ein,480559378,5,1,2018,37.71,-97.32,23183,30866,53.3
31116,Kids N Touch Academy,Opa-Locka,Florida,33054,nonprofit,ein,811796232,5,1,2018,25.91,-80.27,21977,37824,53.2
25771,Higashi Honganji Buddhist Temple,Los Angeles,California,90013,nonprofit,ein,956076680,20,1,2018,34.05,-118.24,22808,59395,53.2
26009,Ronald McDonald House Charities of South Florida,Miami,Florida,33136,nonprofit,ein,591899866,5,1,2018,25.79,-80.21,22864,38846,53.1
27656,U CARE WE CARE,COLUMBUS,Georgia,31903,nonprofit,ein,823101262,20,1,2018,32.41,-84.95,23145,32641,52.9
37569,"Friedens Community Ministries, Inc.",Milwaukee,Wisconsin,53205,nonprofit,ein,391587037,20,1,2018,43.05,-87.93,23125,32457,52.9
16480,Shared Pregnancy Women's Center,Lansing,Michigan,48933,nonprofit,ein,382479382,10,2,"2017,2018",42.73,-84.55,19970,33889,52.6
23354,Relay for Life of Harlan County,Atlanta,Georgia,30303,,ein,131788491,20,4,2018,33.75,-84.39,22383,38004,52.5
24891,Withlovefromharlan,Harlan,Kentucky,40831,nonprofit,ein,822913478,20,2,2018,36.77,-83.35,23773,40308,52.5
14613,College Hills Elementary-PTO,College Station,Texas,77840,nonprofit,ein,30516026,20,2,2018,30.61,-96.33,23426,38232,52.5
28155,College Station ISD Education Foundation,College Station,Texas,77840,nonprofit,ein,742909634,5,1,2018,30.61,-96.33,23426,38232,52.5
26382,The Beast Elite Ducks,Buffalo,New York,14208,nonprofit,ein,811123540,15,2,2018,42.92,-78.85,24414,38076,52.2
31141,California Interscholastic Federation-Central Section,Porterville,California,93258,nonprofit,ein,951997061,5,1,2018,36.05,-119.15,22500,41685,52.2
22328,Paws 4 the Cause,Lexington,Kentucky,40508,nonprofit,ein,264158122,5,1,2018,38.06,-84.51,24074,42009,51.6
23017,"Project H.O.P.E. of Cleveland, Inc.",Cleveland,Ohio,44108,nonprofit,ein,800241946,5,1,2018,41.54,-81.61,24078,42928,51.5
