zcta,HouseCount,HouseMedianIncome,IncomeUnder25K,IncomeOver100K,JobCount,latitude,longitude
1001,7460,57694,21.8,25.4,944,42.062368,-72.625754
1002,9976,52379,28.3,22.5,3528,42.364031,-72.458759
1003,31,"2,500-",83.9,55.3,42,42.389698,-72.524009
1005,1785,70325,11.8,33.5,190,42.418884,-72.112077
1007,5558,86165,9.9,36.3,458,42.27901,-72.400468
1008,548,62750,9.7,26.0,42,42.190191,-72.954263
1009,157,59440,35.7,45.9,36,42.209669,-72.339743
1010,1465,86523,17.3,34.9,150,42.128176,-72.205352
1011,572,75263,14.5,29.1,22,42.290128,-72.966516
1012,233,70114,18.0,26.1,20,42.375425,-72.858192
1013,9273,39868,30.9,11.2,1336,42.154903,-72.602804
1020,12491,58780,21.1,22.3,2252,42.172611,-72.56192
1022,1223,43349,20.4,17.1,116,42.197741,-72.542713
1026,459,51442,17.4,19.8,38,42.465495,-72.918267
1027,7871,63699,16.0,23.3,832,42.295008,-72.751877
1028,5978,85221,14.7,34.3,1032,42.062378,-72.498111
1029,316,50750,26.0,13.4,28,42.193395,-73.044647
1030,4290,71716,17.2,33.0,418,42.072925,-72.686972
1031,531,41875,35.2,19.1,40,42.32938,-72.198156
1032,251,78011,12.4,38.7,54,42.457613,-72.81478
1033,2457,89965,12.7,41.2,244,42.244949,-72.500143
1034,878,87045,10.0,36.1,62,42.093912,-72.961103
1035,2316,58953,13.2,26.0,616,42.356491,-72.568632
1036,1976,81304,10.6,30.6,232,42.071188,-72.417718
1037,238,92750,2.9,42.9,36,42.376036,-72.197364
1038,1337,67096,7.7,25.7,122,42.379925,-72.604045
1039,526,80000,14.5,26.8,56,42.404287,-72.688924
1040,15403,37954,36.6,14.4,3660,42.211656,-72.642448
1050,925,68869,17.4,25.3,66,42.286762,-72.869695
1053,562,62222,11.4,21.6,56,42.356301,-72.713584
1054,818,87174,10.8,32.3,66,42.468898,-72.484579
1056,8086,67715,13.8,27.9,808,42.183577,-72.457812
1057,3495,78986,12.2,29.5,288,42.093596,-72.321494
1060,6563,57485,25.0,20.7,3160,42.321251,-72.630395
1062,4281,73438,18.1,31.5,392,42.323033,-72.701789
1063,0,-,0,0,8,42.318882,-72.63853
1066,9,-,0,100,18,42.406909,-72.655015
1068,679,85938,8.3,35.6,58,42.350862,-72.044248
1069,3630,59211,20.8,29.9,544,42.188862,-72.30648
1070,272,57000,18.0,20.0,16,42.518446,-72.919017
1071,499,67132,11.6,29.0,40,42.160064,-72.87384
1072,636,72000,17.5,31.7,38,42.456968,-72.417244
1073,2422,89423,14.6,37.4,258,42.226949,-72.741588
1074,134,61603,0,22.7,20,42.387603,-72.09323
1075,6745,66681,18.7,25.3,626,42.256532,-72.580248
1077,3750,76737,13.5,31.4,438,42.05257,-72.777353
1079,256,27105,37.5,7.4,28,42.194327,-72.328888
1080,911,49844,29.4,14.6,76,42.185727,-72.361558
1081,734,50465,25.8,19.4,28,42.061313,-72.234411
1082,4455,51768,20.7,21.5,316,42.299749,-72.279164
1083,1115,65547,26.6,24.6,64,42.203642,-72.194599
1084,74,90625,12.2,38.0,10,42.39237,-72.882235
1085,15542,62423,14.8,23.4,1730,42.153503,-72.771602
1086,0,-,0,0,32,42.130446,-72.793967
1088,211,51406,14.2,24.6,62,42.391709,-72.646494
1089,11971,51735,23.7,18.3,3956,42.125451,-72.649734
1092,445,75799,19.8,45.5,32,42.191868,-72.235108
1093,141,103750,12.1,47.7,62,42.441943,-72.661817
1094,190,21250,63.1,10.6,6,42.359108,-72.1368
1095,5266,104128,10.7,41.2,580,42.138527,-72.420703
1096,1034,77083,12.3,32.4,106,42.397138,-72.763554
1097,17,-,58.8,74.6,4,42.178038,-72.832612
1098,556,76563,14.3,29.2,38,42.394315,-72.943115
1103,1418,16720,59.7,11.8,3264,42.104106,-72.592027
1104,8989,30053,44.6,9.3,3402,42.134009,-72.565378
1105,4831,17569,61.6,4.2,544,42.099958,-72.580765
1106,5822,111231,9.5,37.3,1100,42.048054,-72.569275
1107,3825,26772,47.4,10.1,302,42.12106,-72.607068
1108,9899,38499,35.7,11.9,1104,42.080692,-72.560791
1109,9591,35191,39.5,9.2,1878,42.119674,-72.549726
1118,5701,61112,19.3,24.8,260,42.094587,-72.525219
1119,4822,47439,25.1,15.2,294,42.124978,-72.51121
1128,1097,65977,12.8,24.6,104,42.092296,-72.489135
1129,2787,63895,20.1,25.1,316,42.118671,-72.488203
1151,3243,40360,32.1,12.0,584,42.15186,-72.509131
1199,0,-,0,0,10,42.120563,-72.604468
1201,19953,47614,27.5,18.1,7926,42.448236,-73.273727
1220,3768,49777,23.3,18.1,318,42.623808,-73.116741
1222,348,74583,6.0,27.3,34,42.058703,-73.322175
1223,1028,77857,12.4,31.6,84,42.312225,-73.110124
1224,124,38446,38.7,24.2,6,42.513163,-73.195743
1225,1404,61512,18.0,20.4,108,42.563401,-73.153335
1226,2970,61063,17.1,18.5,508,42.481119,-73.135073
1229,48,29000,43.7,44.4,6,42.277932,-73.332032
1230,3398,65214,14.6,25.5,1684,42.173196,-73.32429
1235,1196,63000,11.4,21.8,98,42.425677,-73.063028
1236,427,57014,8.0,32.0,86,42.266496,-73.378393
1237,970,84615,11.4,34.0,246,42.537915,-73.271649
1238,2351,67708,17.3,27.9,564,42.297501,-73.230148
1240,2201,68948,16.6,28.6,496,42.367858,-73.269763
1242,173,81172,0,42.5,34,42.333734,-73.249199
1243,164,71979,14.0,38.7,12,42.350122,-73.024112
1244,62,55556,32.2,28.2,6,42.118094,-73.257497
1245,405,69821,10.9,34.5,48,42.186893,-73.223105
1247,6848,40928,31.0,13.2,660,42.698526,-73.0843
1253,365,74554,11.0,32.1,66,42.206683,-73.113214
1254,471,92083,11.8,32.6,60,42.382019,-73.365492
1255,326,68636,11.6,31.0,40,42.107496,-73.118607
1256,321,55375,20.9,17.9,10,42.594166,-73.02232
1257,1014,59500,17.7,34.5,220,42.085244,-73.367483
1258,195,57917,13.3,20.2,66,42.10928,-73.462886
1259,262,62727,7.6,30.0,50,42.075469,-73.234376
1260,131,112756,10.7,66.2,24,42.295695,-73.342544
1262,557,36042,26.7,20.1,312,42.292202,-73.319209
1264,76,80000,22.4,38.0,2,42.23159,-73.202428
1266,583,74107,14.4,26.7,88,42.312354,-73.388044
1267,2405,78068,14.9,32.8,426,42.671617,-73.246981
1270,342,80000,11.1,35.5,16,42.515272,-73.031166
1301,7995,48477,26.4,16.4,2312,42.626761,-72.60153
1330,632,74167,7.2,25.7,72,42.513947,-72.821517
1331,5403,53733,21.6,22.3,422,42.562394,-72.191044
1337,1101,66085,17.2,23.7,94,42.689307,-72.582289
1338,73,57750,8.2,44.0,26,42.572488,-72.824145
1339,601,55313,19.6,16.9,62,42.603776,-72.889644
1340,722,53125,20.1,15.1,36,42.694731,-72.710956
1341,692,101023,4.9,41.1,52,42.492124,-72.709827
1342,563,106146,14.4,51.5,54,42.543889,-72.609458
1343,25,85781,24,69.6,2,42.657625,-72.978933
1344,602,70109,14.3,19.6,42,42.613418,-72.426428
1346,189,60208,14.7,26.3,10,42.693268,-72.823116
1347,78,52647,28.2,34.3,2,42.559294,-72.518753
1349,462,61630,18.0,30.4,14,42.563061,-72.482115
1350,47,31458,31.9,59.8,6,42.727772,-72.985346
1351,999,82548,15.6,32.2,60,42.53988,-72.521689
1354,583,69226,9.5,25.9,44,42.624101,-72.508607
1355,392,70313,14.3,30.7,40,42.458551,-72.327191
1360,1214,69028,16.4,30.0,94,42.677091,-72.453876
1364,3185,43413,28.8,17.4,268,42.605437,-72.292074
1366,493,65529,13.5,24.3,60,42.475621,-72.192468
1367,231,55469,24.3,22.1,12,42.695532,-72.909148
1368,528,72813,14.4,27.3,18,42.679456,-72.176935
1370,1853,54036,23.7,19.4,228,42.593376,-72.726928
1373,1850,74022,14.0,27.3,286,42.475481,-72.615403
1375,1597,54886,21.8,22.5,108,42.466691,-72.546751
1376,2375,43750,36.9,11.1,194,42.59528,-72.555002
1378,338,57885,16.8,21.4,10,42.673533,-72.353213
1379,384,43500,30.7,12.7,48,42.556308,-72.407153
1420,14828,51412,25.6,19.8,1530,42.584925,-71.816862
1430,2024,85064,9,37.0,182,42.657005,-71.923442
1431,1106,95833,8.1,41.8,120,42.676293,-71.832523
1432,3387,79750,14.0,34.7,466,42.564663,-71.567298
1434,191,50547,5.8,37.2,154,42.539753,-71.61233
1436,1229,60156,19.2,29.1,68,42.602059,-72.087015
1438,229,74142,3.5,41.6,38,42.562243,-72.031402
1440,8254,48915,27.0,15.9,806,42.588337,-71.986069
1450,4101,123918,10.5,40.2,1792,42.611636,-71.564743
1451,1645,143625,7.2,42.0,264,42.501908,-71.568201
1452,1682,93387,10.5,39.2,98,42.495111,-72.002339
1453,16563,57610,22.8,22.1,2254,42.519967,-71.763319
1460,3440,119177,12.3,42.3,636,42.535931,-71.490569
1462,4171,97775,14.6,41.4,424,42.582607,-71.720464
1463,4346,90029,12.9,35.9,416,42.670643,-71.602858
1464,2426,67541,16.2,26.0,242,42.573654,-71.640986
1467,163,98036,28.8,52.5,18,42.489495,-71.609346
1468,1891,64872,10.2,24.1,122,42.542767,-72.068345
1469,2683,84489,7.9,35.4,258,42.664794,-71.695055
1473,2832,100071,7.5,46.1,708,42.5546,-71.90544
1474,715,84851,8.0,35.9,54,42.669685,-71.752751
1475,3889,64539,18.4,29.2,286,42.66816,-72.055644
1501,6642,74576,13.4,30.9,1194,42.198708,-71.846006
1503,1151,97417,11.0,37.6,162,42.384929,-71.633889
1504,3438,80260,12.0,34.8,264,42.039991,-71.532406
1505,1713,97074,8.2,34.0,246,42.355049,-71.716157
1506,1421,64219,12.4,27.5,84,42.180807,-72.107888
1507,4889,93921,10.1,38.9,1572,42.133935,-71.968025
1510,5586,68362,13.3,28.5,488,42.411887,-71.690005
1515,828,80234,11.8,33.2,86,42.209682,-72.040178
1516,3151,94531,10.3,44.5,254,42.053072,-71.752241
